,,,Salary,Salary,Salary,Salary,Salary,Salary,,
228,Cameron Johnson\johnsca02,PHO,$4235160,$4437000,$5887899,,,,1st Round Pick,$8672160
229,JaVale McGee\mcgeeja01,CLE,$4200000,,,,,,Cap Space,$4200000
230,Reggie Bullock\bullore01,NYK,$4200000,,,,,,Room Exception,$1000000
231,Shai Gilgeous-Alexander\gilgesh01,OKC,$4141320,$5495532,,,,,1st Round Pick,$9636852
232,John Collins\collijo01,ATL,$4137302,,,,,,1st Round Pick,$4137302
233,Nicolò Melli\mellini01,NOP,$4097561,,,,,,Room Exception,$4097561
234,Devin Vassell\vassede01,SAS,$4033440,$4235160,$4437000,$5887899,,,1st Round Pick,$8268600
235,P.J. Washington\washipj01,CHO,$4023600,$4215120,$5808435,,,,1st Round Pick,$8238720
236,Willie Cauley-Stein\caulewi01,DAL,$4000000,$4200000,,,,,MLE,$8200000
237,Dorian Finney-Smith\finnedo01,DAL,$4000000,$4000000,,,,,Bird Rights,$8000000
238,Patrick McCaw\mccawpa01,TOR,$4000000,,,,,,MLE,$4000000
239,Terrance Ferguson\fergute01,PHI,$3944013,,,,,,1st Round Pick,$3944013
240,Miles Bridges\bridgmi02,CHO,$3934320,$5421493,,,,,1st Round Pick,$9355813
241,Jarrett Allen\allenja01,BRK,$3909902,,,,,,1st Round Pick,$3909902
242,OG Anunoby\anunoog01,TOR,$3872215,$16071429,$17357143,$18642857,$19928571,,1st Round Pick,$75872215
243,Tyrese Haliburton\halibty01,SAC,$3831840,$4023600,$4215120,$5808435,,,1st Round Pick,$7855440
244,Tyler Herro\herroty01,MIA,$3822240,$4004280,$5722116,,,,1st Round Pick,$7826520
245,Stanley Johnson\johnsst04,TOR,$3801000,,,,,,Bi-annual Exception,$3801000
246,Jake Layman\laymaja01,MIN,$3761085,$3940184,,,,,Sign and Trade,$7701269
247,Danuel House\houseda01,HOU,$3717000,$3894000,,,,,MLE,$7611000
248,Kira Lewis Jr.\lewiski01,NOP,$3640200,$3822240,$4004280,$5722116,,,1st Round Pick,$7462440
249,Romeo Langford\langfro01,BOS,$3631200,$3804360,$5634257,,,,1st Round Pick,$7435560
250,Facundo Campazzo\campafa01,DEN,$3623000,$3804150,,,,,Bi-Annual Exception,$7427150
251,Bobby Portis\portibo01,MIL,$3623000,$3804150,,,,,Bi-Annual Exception,$3623000
252,Maurice Harkless\harklma01,MIA,$3623000,,,,,,MLE,$3623000
253,Wesley Matthews\matthwe02,LAL,$3623000,,,,,,Bi-Annual Exception,$3623000
254,Kyle Kuzma\kuzmaky01,LAL,$3562178,$13000000,$13000000,$13000000,,,1st Round Pick,$29562178
255,Michael Porter Jr.\portemi01,DEN,$3550800,$5258735,,,,,1st Round Pick,$8809535
256,Jevon Carter\carteje01,PHO,$3549383,$3833333,$4117284,,,,Early Bird,$11500000
257,Tony Bradley\bradlto01,PHI,$3542060,,,,,,1st Round Pick,$3542060
258,Derrick White\whitede01,SAS,$3516284,$15178571,$16392857,$17607143,$18821429,,1st Round Pick,$71516284
259,Mirza Teletović\teletmi01,MIL,$3500000,,,,,,,$3500000
260,Boban Marjanović\marjabo01,DAL,$3500000,,,,,,Bi-Annual Exception,$3500000
261,T.J. McConnell\mccontj01,IND,$3500000,,,,,,Cap Space,$1000000
262,Josh Hart\hartjo01,NOP,$3491159,,,,,,1st Round Pick,$3491159
263,Aaron Nesmith\nesmiaa01,BOS,$3458400,$3631200,$3804360,$5634257,,,1st Round Pick,$7089600
264,Sekou Doumbouya\doumbse01,DET,$3449400,$3613680,$5539771,,,,1st Round Pick,$7063080
265,Troy Brown Jr.\browntr01,WAS,$3372840,$5170564,,,,,1st Round Pick,$8543404
266,James Ennis\ennisja01,ORL,$3300000,,,,,,MLE,$3300000
267,Cole Anthony\anthoco01,ORL,$3285120,$3449400,$3613680,$5539771,,,1st Round Pick,$6734520
268,Zhaire Smith\smithzh01,DET,$3204600,,,,,,,$3204600
269,Trey Burke\burketr01,DAL,$3174603,$3333333,$3492063,,,,MLE,$6507936
270,Austin Rivers\riverau01,NYK,$3174603,$3333333,$3492063,,,,Sign and Trade,$3174603
271,Jon Leuer\leuerjo01,MIL,$3169348,$3169347,,,,,,$6338695
272,Chuma Okeke\okekech01,ORL,$3121080,$3277080,$3433320,$5266713,,,1st Round Pick,$6398160
273,Isaiah Stewart\stewais01,DET,$3121080,$3277080,$3433320,$5266713,,,1st Round Pick,$6398160
274,Nickeil Alexander-Walker\alexani01,NOP,$3113160,$3261480,$5009633,,,,1st Round Pick,$3113160
275,Patrick Patterson\pattepa01,LAC,$3814768,$737066,,,,,Non Bird,$3077701
276,Donte DiVincenzo\divindo01,MIL,$3044160,$4675830,,,,,1st Round Pick,$7719990
277,Michael Carter-Williams\cartemi01,ORL,$3000000,$3000000,,,,,Early Bird,$6000000
278,Khem Birch\birchkh01,ORL,$3000000,,,,,,Early Bird Rights,$3000000
279,Ryan Arcidiacono\arcidry01,CHI,$3000000,$3000000,,,,,Cap space,$3000000
280,Aleksej Pokusevski\pokusal01,OKC,$2964840,$3113160,$3261480,$5009633,,,1st Round Pick,$6078000
281,Goga Bitadze\bitadgo01,IND,$2957520,$3098400,$4765339,,,,1st Round Pick,$6055920
282,Lonnie Walker\walkelo01,SAS,$2892000,$4447896,,,,,1st Round Pick,$7339896
283,Dewayne Dedmon\dedmode01,DET,$2866667,$2866667,$2866667,$2866667,$2866667,,,$14333335
284,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,,,,$11377716
285,Luka Šamanić\samanlu01,SAS,$2824320,$2959080,$4556983,,,,1st Round Pick,$5783400
286,Josh Green\greenjo02,DAL,$2816760,$2957520,$3098400,$4765339,,,1st Round Pick,$5774280
287,Kevin Huerter\huertke01,ATL,$2761920,$4253357,,,,,1st Round Pick,$7015277
288,Marko Guduric\gudurma01,MEM,$2750000,,,,,,,$2750000
289,Alex Caruso\carusal01,LAL,$2750000,,,,,,Room Exception,$2750000
290,Matisse Thybulle\thybuma01,PHI,$2711280,$2840160,$4379527,,,,1st Round Pick,$5551440
291,Saddiq Bey\beysa01,DET,$2689920,$2824320,$2959080,$4556983,,,1st Round Pick,$5514240
292,Josh Okogie\okogijo01,MIN,$2651040,$4087904,,,,,1st Round Pick,$6738944
293,Vincent Poirier\poirivi01,PHI,$2619207,,,,,,Minimum Salary,$2619207
294,Brandon Clarke\clarkbr01,MEM,$2602920,$2726880,$4343920,,,,1st Round Pick,$5329800
295,Precious Achiuwa\achiupr01,MIA,$2582160,$2711280,$2840160,$4379527,,,1st Round Pick,$5293440
296,Marc Gasol\gasolma01,LAL,$2564753,$2692991,,,,,Minimum Salary,$5257744
297,Carmelo Anthony\anthoca01,POR,$2564753,,,,,,Minimum Salary,$2564753
298,Dwight Howard\howardw01,PHI,$2564753,,,,,,Minimum Salary,$2564753
299,Udonis Haslem\hasleud01,MIA,$2564753,,,,,,Minimum Salary,$2564753
300,Jared Dudley\dudleja01,LAL,$2564753,,,,,,Minimum Salary,$2564753
301,Nicolas Batum\batumni01,LAC,$29695187,,,,,,Minimum Salary,$2564753
302,Wayne Ellington\ellinwa01,DET,$3005225,,,,,,Minimum Salary,$2564753
303,J.J. Barea\bareajo01,DAL,$2564753,,,,,,,$2564753
304,Jeff Green\greenje02,BRK,$2564753,,,,,,Minimum Salary,$2564753
305,Jeff Teague\teaguje01,BOS,$2564753,,,,,,Minimum Salary,$2564753
306,Grayson Allen\allengr01,MEM,$2545320,$4054695,,,,,1st Round Pick,$6600015
307,Grant Williams\willigr01,BOS,$2498760,$2617800,$4306281,,,,1st Round Pick,$5116560
308,Tyrese Maxey\maxeyty01,PHI,$2478840,$2602920,$2726880,$4343920,,,1st Round Pick,$5081760
309,Chandler Hutchison\hutchch01,CHI,$2443440,$4019459,,,,,1st Round Pick,$2443440
310,Darius Bazley\bazleda01,OKC,$2399160,$2513040,$4264629,,,,1st Round Pick,$4912200
311,Zeke Nnaji\nnajize01,DEN,$2379840,$2498760,$2617800,$4306281,,,1st Round Pick,$4878600
312,Aaron Holiday\holidaa01,IND,$2345640,$3980551,,,,,1st Round Pick,$6326191
313,Bryn Forbes\forbebr01,MIL,$2337145,$2454002,,,,,MLE,$2337145
314,E'Twaun Moore\mooreet01,PHO,$2331593,,,,,,Minimum Salary,$2331593
315,Markieff Morris\morrima02,LAL,$2331593,,,,,,Minimum Salary,$2331593
316,Reggie Jackson\jacksre01,LAC,$2331593,,,,,,Minimum Salary,$2331593
317,Bismack Biyombo\biyombi01,CHO,$2331593,,,,,,Minimum Salary,$2331593
318,DeMarcus Cousins\couside01,HOU,$2331593,,,,,,,
319,Hassan Whiteside\whiteha01,SAC,$2320044,,,,,,Minimum Salary,$2320044
320,Kent Bazemore\bazemke01,GSW,$2320044,,,,,,Minimum Salary,$2320044
321,Alex Len\lenal01,TOR,$2320000,,,,,,MLE,$2320000
322,Luke Kornet\kornelu01,CHI,$2304878,,,,,,Room Exception,$2304878
323,Ty Jerome\jeromty01,OKC,$2303040,$2412840,$4220057,,,,1st Round Pick,$4715880
324,Mike Muscala\muscami01,OKC,$2283034,,,,,,Minimum Salary,$2283034
325,Ben McLemore\mclembe01,HOU,$2283034,,,,,,Minimum Salary,$2283034
326,Anfernee Simons\simonan01,POR,$2252040,$3938818,,,,,1st Round Pick,$6190858
327,Brad Wanamaker\wanambr01,GSW,$2250000,,,,,,Mini MLE,$2250000
328,Monta Ellis\ellismo01,IND,$2245400,$2245400,,,,,,$4490800
329,Nassir Little\littlna01,POR,$2210640,$2316240,$4171548,,,,1st Round Pick,$4526880
330,R.J. Hampton\hamptrj01,DEN,$2193480,$2303040,$2412840,$4220057,,,1st Round Pick,$4496520
331,Matthew Dellavedova\dellama01,CLE,$2174318,,,,,,Minimum Salary,$2174318
332,Solomon Hill\hillso01,ATL,$2174318,,,,,,Cap Space,$2174318
333,Moritz Wagner\wagnemo01,WAS,$2161920,$3893618,,,,,1st Round Pick,$2161920
334,Edmond Sumner\sumneed01,IND,$2160000,$2320000,,,,,Cap Space,$2160000
335,Dylan Windler\windldy01,CLE,$2137440,$2239200,$4037278,,,,1st Round Pick,$4376640
336,Immanuel Quickley\quickim01,NYK,$2105520,$2210640,$2316240,$4171548,,,1st Round Pick,$4316160
337,John Konchar\konchjo01,MEM,$2093023,$2197674,$2302326,$2406977,,,MLE,$9000000
338,Landry Shamet\shamela01,BRK,$2090040,$3768342,,,,,1st Round Pick,$5858382
339,Mfiondu Kabengele\kabenmf01,LAC,$2075880,$2174880,$3923484,,,,1st Round Pick,$2075880
340,Jordan Poole\poolejo01,GSW,$2063280,$2161440,$3901399,,,,1st Round Pick,$4224720
341,Bol Bol\bolbo01,DEN,$2058240,$2161152,,,,,MLE,$4219392
342,Keldon Johnson\johnske04,SAS,$2048040,$2145720,$3873025,,,,1st Round Pick,$4193760
343,Payton Pritchard\pritcpa01,BOS,$2035800,$2137440,$2239200,$4037278,,,1st Round Pick,$4173240
344,Kevin Porter Jr.\porteke02,CLE,$2033160,$2130240,$3845083,,,,1st Round Pick,$4163400
345,Robert Williams\williro04,BOS,$2029920,$3661976,,,,,1st Round Pick,$5691896
346,Glenn Robinson III\robingl02,SAC,$2028594,,,,,,Minimum Salary,$2028594
347,Langston Galloway\gallola01,PHO,$2028594,,,,,,Minimum Salary,$2028594
348,Tyler Johnson\johnsty01,BRK,$2028594,,,,,,Minimum Salary,$2028594
349,Bruno Caboclo\cabocbr01,HOU,$2028594,$2283034,,,,,Minimum Salary,$50000
350,Jacob Evans\evansja02,NYK,$2017320,,,,,,,$2017320
351,Théo Maledon\maledth01,OKC,$2000000,$2000000,$1900000,$1930681,,,MLE,$4000000
352,Kenrich Williams\willike04,OKC,$2000000,$2000000,$2000000,,,,Sign and Trade,$2000000
353,Damyean Dotson\dotsoda01,CLE,$2000000,$2000000,,,,,MLE,$2000000
354,Omari Spellman\spellom01,NYK,$1988280,$3588845,,,,,1st Round Pick,$1988280
355,Cameron Payne\payneca01,PHO,$1977011,,,,,,Minimum Salary,$1977011
356,Udoka Azubuike\azubuud01,UTA,$1977000,$2075880,$2174880,$3923484,,,1st Round Pick,$4052880
357,Jaden McDaniels\mcdanja02,MIN,$1964760,$2063280,$2161440,$3901399,,,1st Round Pick,$4028040
358,Malachi Flynn\flynnma01,TOR,$1950600,$2048040,$2145720,$3873025,,,1st Round Pick,$3998640
359,Gary Clark\clarkga01,ORL,$1944677,$2041911,,,,,Non Bird,$3986588
360,Desmond Bane\banede01,MEM,$1936440,$2033160,$2130240,$3845083,,,1st Round Pick,$3969600
361,Anderson Varejão\varejan01,POR,$1913345,,,,,,,$1913345
362,Jontay Porter\portejo01,MEM,$1904762,$2000000,$2095238,,,,MLE,$6000000
363,Jahlil Okafor\okafoja01,DET,$1882867,$2130023,,,,,Minimum Salary,$4012890
364,Raul Neto\netora01,WAS,$1882867,,,,,,Minimum Salary,$1882867
365,JaKarr Sampson\sampsja02,IND,$1882867,,,,,,Minimum Salary,$1882867
366,Jerian Grant\grantje02,HOU,$1882867,,,,,,,$1882867
367,Justin Anderson\anderju01,PHI,$1882867,$2130023,,,,,Minimum Salary,$125000
368,Larry Sanders\sandela01,MIL,$1865547,$1865547,,,,,,$3731094
369,David Nwaba\nwabada01,HOU,$1862250,,,,,,MLE,$1862250
370,Marquese Chriss\chrisma01,GSW,$1824003,,,,,,Minimum Salary,$800000
371,Timothé Luwawu-Cabarrot\luwawti01,BRK,$1824003,,,,,,,
372,Georges Niang\niangge01,UTA,$1783557,,,,,,,
373,Rodions Kurucs\kurucro01,BRK,$1780152,$1861068,,,,,Cap space,$1780152
374,Damion Lee\leeda03,GSW,$1762796,$1910860,,,,,MLE,$600000
375,Furkan Korkmaz\korkmfu01,PHI,$1762796,,,,,,,
376,Alfonzo McKinnie\mckinal01,LAL,$1762796,$1910860,$2165298,,,,,
377,Abdel Nader\naderab01,PHO,$1752950,,,,,,Cap Space,$1752950
378,Semi Ojeleye\ojelese01,BOS,$1752950,,,,,,Cap space,$1752950
379,Damian Jones\jonesda03,PHO,$1737145,$1977011,,,,,Minimum Salary,$3714156
380,DeAndre' Bembry\bembrde01,TOR,$1737145,$1977011,,,,,Minimum Salary,$1737145
381,Henry Ellenson\ellenhe01,TOR,$1737145,$1977011,,,,,Minimum Salary,$50000
382,Willy Hernangómez\hernawi01,NOP,$1727145,,,,,,Minimum Salary,$700000
383,Shake Milton\miltosh01,PHI,$1701593,$1846738,$1997718,,,,Cap Space,$3548331
384,Thanasis Antetokounmpo\antetth01,MIL,$1701593,,,,,,Minimum Salary,$1701593
385,Brandon Goodwin\goodwbr01,ATL,$1701593,,,,,,,
386,Wesley Iwundu\iwundwe01,DAL,$1678854,$1824003,,,,,Minimum Salary,$3502857
387,Harry Giles\gilesha01,POR,$1678854,,,,,,Minimum Salary,$1678854
388,Dwayne Bacon\bacondw01,ORL,$1678854,$1824003,,,,,Minimum Salary,$1678854
389,Sindarius Thornwell\thornsi01,NOP,$1678854,$1824003,,,,,Minimum Salary,$1678854
390,Torrey Craig\craigto01,MIL,$1678854,,,,,,Minimum Salary,$1678854
391,Sterling Brown\brownst02,HOU,$1678854,,,,,,Minimum Salary,$1678854
392,Shaquille Harrison\harrish01,UTA,$1678854,,,,,,,
393,Monte Morris\morrimo01,DEN,$1663861,$8333333,$9000000,$9666667,,,Minimum Salary,$27000000
394,Gary Trent Jr.\trentga02,POR,$1663861,,,,,,MLE,$1663861
395,Hamidou Diallo\diallha01,OKC,$1663861,,,,,,MLE,$1663861
396,Mitchell Robinson\robinmi01,NYK,$1663861,$1802057,,,,,MLE,$1663861
397,Kendrick Nunn\nunnke01,MIA,$1663861,,,,,,Minimum Salary,$1663861
398,Duncan Robinson\robindu01,MIA,$1663861,,,,,,MLE,$1663861
399,Sviatoslav Mykhailiuk\mykhasv01,DET,$1663861,,,,,,Cap Space,$1663861
400,Jalen Brunson\brunsja01,DAL,$1663861,$1802057,,,,,Cap Space,$1663861
401,Isaac Bonga\bongais01,WAS,$1663861,,,,,,,
402,Melvin Frazier\frazime01,ORL,$1663861,,,,,,,
403,Jarred Vanderbilt\vandeja01,MIN,$1663861,,,,,,,
404,Devonte' Graham\grahade01,CHO,$1663861,,,,,,,
405,Bruce Brown\brownbr01,BRK,$1663861,,,,,,,
406,Drew Eubanks\eubandr01,SAS,$1620564,$1762796,$1910860,,,,Minimum Salary,$2120564
407,Josh Gray\grayjo01,OKC,$1620564,,,,,,,$1620564
408,Wenyen Gabriel\gabriwe01,NOP,$1620564,$1762796,,,,,Minimum Salary,$1620564
409,Terance Mann\mannte01,LAC,$1517984,$1782621,$1930681,,,,Minimum Salary,$1517984
410,Admiral Schofield\schofad01,OKC,$1517981,$1782621,,,,,MLE,$3300602
411,KZ Okpala\okpalkz01,MIA,$1517981,$1782621,,,,,MLE,$3300602
412,Eric Paschall\pascher01,GSW,$1517981,$1782621,,,,,MLE,$3300602
413,Cody Martin\martico01,CHO,$1517981,$1782621,,,,,MLE,$3300602
414,Nicolas Claxton\claxtni01,BRK,$1517981,$1782621,,,,,Minimum Salary,$3300602
415,Carsen Edwards\edwarca01,BOS,$1517981,$1782621,$1930681,,,,Cap space,$3300602
416,Bruno Fernando\fernabr01,ATL,$1517981,$1782621,,,,,Cap space,$3300602
417,Luguentz Dort\dortlu01,OKC,$1517981,$1782621,$1930681,,,,Minimum Salary,$2142981
418,Justin James\jamesju01,SAC,$1517981,$1782621,,,,,Minimum Salary,$1517981
419,Isaiah Roby\robyis01,OKC,$1517981,$1782621,$1930681,,,,MLE,$1517981
420,Ignas Brazdeikis\brazdig01,NYK,$1517981,$1782621,,,,,Minimum Salary,$1517981
421,Chris Silva\silvach01,MIA,$1517981,$1782621,,,,,MLE,$1517981
422,Talen Horton-Tucker\hortota01,LAL,$1517981,,,,,,Minimum Salary,$1517981
423,Jalen Lecque\lecquja01,IND,$1517981,$1782621,$1930681,,,,Cap Space,$1517981
424,Daniel Gafford\gaffoda01,CHI,$1517981,$1782621,$1930681,,,,Minimum Salary,$1517981
425,Alen Smailagić\smailal01,GSW,$1517981,$1782621,$1930681,,,,MLE,$1517581
426,Matt Thomas\thomama02,TOR,$1517981,$1782621,,,,,MLE,$725000
427,Miye Oni\onimi01,UTA,$1517981,$1782621,,,,,,
428,Terence Davis\daviste02,TOR,$1517981,,,,,,,
429,Naz Reid\reidna01,MIN,$1517981,$1782621,$1930681,,,,,
430,Jaylen Nowell\nowelja01,MIN,$1517981,$1782621,$1930681,,,,,
431,Chris Clemons\clemoch01,HOU,$1517981,$1782621,,,,,,
432,Mychal Mulder\muldemy01,GSW,$1517981,$1782621,,,,,,
433,Dean Wade\wadede01,CLE,$1517981,$1782621,$1930681,,,,,
434,Jalen McDaniels\mcdanja01,CHO,$1517981,$1782621,$1930681,,,,,
435,Caleb Martin\martica02,CHO,$1517981,$1782621,,,,,,
436,Javonte Green\greenja02,BOS,$1517981,,,,,,,
437,Robert Woodard\woodaro01,SAC,$1500000,$1517981,$1782621,$1930681,,,MLE,$3317981
438,J.R. Smith\smithjr01,CLE,$1456667,$1456666,,,,,,$2913333
439,Jae'Sean Tate\tateja01,HOU,$1445967,$1517981,$1782621,,,,MLE,$50000
440,DaQuan Jeffries\jeffrda01,SAC,$1445697,$1701593,,,,,Minimum Salary,$1445697
441,Zylan Cheatham\cheatzy01,OKC,$1445697,,,,,,,$1445697
442,Isaiah Hartenstein\harteis01,DEN,$1445697,$1701593,,,,,Minimum Salary,$1445697
443,Kelan Martin\martike03,IND,$1445697,$1701593,,,,,Minimum Salary,$722848
444,Paul Watson\watsopa01,TOR,$1445697,$1701593,,,,,Minimum Salary,$350000
445,Oshae Brissett\brissos01,TOR,$1445697,$1701593,,,,,Minimum Salary,$300000
446,Vernon Carey Jr.\careyve01,CHO,$1350000,$1517981,$1782621,$1930681,,,Cap Space,$4650602
447,Xavier Tillman Sr.\tillmxa01,MEM,$1300000,$1517981,$1782621,$1930681,,,MLE,$4600602
448,Tyrell Terry\terryty01,DAL,$1289846,$1517981,$1782621,$1930681,,,MLE,$4590448
449,Guerschon Yabusele\yabusgu01,BOS,$1039080,$1039080,,,,,,$2078160
450,Elfrid Payton\paytoel01,NYK,$5760000,,,,,,,$5760000
451,Jahmi'us Ramsey\ramseja01,SAC,$1000000,$1517981,$1782621,,,,MLE,$2517981
452,Quinn Cook\cookqu01,LAL,$1000000,,,,,,,$1000000
453,Nick Richards\richani01,CHO,$1000000,,,,,,Cap Space,$1000000
454,Kyle Singler\singlky01,OKC,$999200,$999200,$999200,,,,,$2997600
455,Deividas Sirvydis\sirvyde01,DET,$898310,$1517981,$1782621,,,,Cap Space,$4198912
456,Elijah Hughes\hugheel01,UTA,$898310,$1517981,,,,,Minimum Salary,$2416291
457,Tre Jones\jonestr01,SAS,$898310,$1517981,$1782621,,,,MLE,$2416291
458,CJ Elleby\ellebcj01,POR,$898310,$1517981,,,,,Minimum Salary,$2416291
459,Isaiah Joe\joeis01,PHI,$898310,$1517981,$1782621,,,,MLE,$2416291
460,Jordan Nwora\nworajo01,MIL,$898310,$1517981,,,,,Minimum Salary,$2416291
461,Daniel Oturu\oturuda01,LAC,$898310,$1517981,,,,,Minimum Salary,$2416291
462,Sam Merrill\merrisa01,MIL,$898310,$1517981,,,,,Minimum Salary,$1398310
463,Anthony Gill\gillan01,WAS,$898310,$1517981,,,,,Minimum Salary,$898310
464,Kenyon Martin Jr.\martike04,HOU,$898310,$1517981,$1782621,$1930681,,,MLE,$898310
465,Vlatko Čančar\cancavl01,DEN,$898310,$1782621,,,,,MLE,$898310
466,Khyri Thomas\thomakh01,ATL,$744684,,,,,,,$744684
467,Patrick Patterson\pattepa01,OKC,$3814768,$737066,,,,,,$1474133
468,Cole Aldrich\aldrico01,MIN,$685340,,,,,,,$685340
469,Shaun Livingston\livinsh01,GSW,$666667,$1333332,,,,,,$1999999
470,Dakari Johnson\johnsda04,MEM,$459414,,,,,,,$459414
471,Wayne Ellington\ellinwa01,NYK,$3005225,,,,,,,$440472
472,A.J. Hammons\hammoaj01,MIA,$350087,,,,,,,$350087
473,Rayjon Tucker\tuckera01,CLE,$340000,,,,,,,$340000
474,Frank Jackson\jacksfr01,OKC,,,,,,,,$250000
475,Troy Williams\willitr02,HOU,$122741,$122741,$122741,,,,,$368223
476,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,$92857,,,,$371428
477,Chimezie Metu\metuch01,SAC,,,,,,,,$50000
